word,vector
"анекд
",[ 1. 15.  6. 12.  5.  0.]
"нильс
",[15. 10. 13. 28. 19.  0.]
"виску
",[ 3. 10. 19. 12. 21.  0.]
"норме
",[15. 16. 18. 14.  6.  0.]
"штыря
",[26. 20. 29. 18. 33.  0.]
"шампа
",[26.  1. 14. 17.  1.  0.]
"немка
",[15.  6. 14. 12.  1.  0.]
"шнуру
",[26. 15. 21. 18. 21.  0.]
"срежь
",[19. 18.  6.  8. 28.  0.]
"печка
",[17.  6. 25. 12.  1.  0.]
"загиб
",[ 9.  1.  4. 10.  2.  0.]
"храму
",[23. 18.  1. 14. 21.  0.]
"фаина
",[22.  1. 10. 15.  1.  0.]
"резов
",[18.  6.  9. 16.  3.  0.]
"вгибы
",[ 3.  4. 10.  2. 29.  0.]
"изуми
",[10.  9. 21. 14. 10.  0.]
"грека
",[ 4. 18.  6. 12.  1.  0.]
"мазло
",[14.  1.  9. 13. 16.  0.]
"ерань
",[ 6. 18.  1. 15. 28.  0.]
"талон
",[20.  1. 13. 16. 15.  0.]
"читой
",[25. 10. 20. 16. 11.  0.]
"возом
",[ 3. 16.  9. 16. 14.  0.]
"нажил
",[15.  1.  8. 10. 13.  0.]
"ползу
",[17. 16. 13.  9. 21.  0.]
"пемзе
",[17.  6. 14.  9.  6.  0.]
"дилер
",[ 5. 10. 13.  6. 18.  0.]
"шифра
",[26. 10. 22. 18.  1.  0.]
"лессу
",[13.  6. 19. 19. 21.  0.]
"вилял
",[ 3. 10. 13. 33. 13.  0.]
"учесу
",[21. 25.  6. 19. 21.  0.]
"вяжем
",[ 3. 33.  8.  6. 14.  0.]
"зубок
",[ 9. 21.  2. 16. 12.  0.]
"лесть
",[13.  6. 19. 20. 28.  0.]
"диете
",[ 5. 10.  6. 20.  6.  0.]
"узник
",[21.  9. 15. 10. 12.  0.]
"укала
",[21. 12.  1. 13.  1.  0.]
"помни
",[17. 16. 14. 15. 10.  0.]
"мумию
",[14. 21. 14. 10. 32.  0.]
"якову
",[33. 12. 16.  3. 21.  0.]
"устье
",[21. 19. 20. 28.  6.  0.]
"химия
",[23. 10. 14. 10. 33.  0.]
"носам
",[15. 16. 19.  1. 14.  0.]
"внове
",[ 3. 15. 16.  3.  6.  0.]
"утяну
",[21. 20. 33. 15. 21.  0.]
"розга
",[18. 16.  9.  4.  1.  0.]
"ворах
",[ 3. 16. 18.  1. 23.  0.]
"хотах
",[23. 16. 20.  1. 23.  0.]
"хорём
",[23. 16. 18.  7. 14.  0.]
"круче
",[12. 18. 21. 25.  6.  0.]
"козак
",[12. 16.  9.  1. 12.  0.]
"ладке
",[13.  1.  5. 12.  6.  0.]
"левых
",[13.  6.  3. 29. 23.  0.]
"диски
",[ 5. 10. 19. 12. 10.  0.]
"слюню
",[19. 13. 32. 15. 32.  0.]
"начес
",[15.  1. 25.  6. 19.  0.]
"вторг
",[ 3. 20. 16. 18.  4.  0.]
"щипке
",[27. 10. 17. 12.  6.  0.]
"анели
",[ 1. 15.  6. 13. 10.  0.]
"трава
",[20. 18.  1.  3.  1.  0.]
"эпохи
",[31. 17. 16. 23. 10.  0.]
"торча
",[20. 16. 18. 25.  1.  0.]
"украв
",[21. 12. 18.  1.  3.  0.]
"помеш
",[17. 16. 14.  6. 26.  0.]
"жисть
",[ 8. 10. 19. 20. 28.  0.]
"бедна
",[ 2.  6.  5. 15.  1.  0.]
"лопая
",[13. 16. 17.  1. 33.  0.]
"поезд
",[17. 16.  6.  9.  5.  0.]
"стоян
",[19. 20. 16. 33. 15.  0.]
"чечен
",[25.  6. 25.  6. 15.  0.]
"пашем
",[17.  1. 26.  6. 14.  0.]
"малою
",[14.  1. 13. 16. 32.  0.]
"узрит
",[21.  9. 18. 10. 20.  0.]
"зонте
",[ 9. 16. 15. 20.  6.  0.]
"сшиты
",[19. 26. 10. 20. 29.  0.]
"лачку
",[13.  1. 25. 12. 21.  0.]
"крисы
",[12. 18. 10. 19. 29.  0.]
"пауке
",[17.  1. 21. 12.  6.  0.]
"чужой
",[25. 21.  8. 16. 11.  0.]
"лавры
",[13.  1.  3. 18. 29.  0.]
"брате
",[ 2. 18.  1. 20.  6.  0.]
"серко
",[19.  6. 18. 12. 16.  0.]
"рыщут
",[18. 29. 27. 21. 20.  0.]
"ганны
",[ 4.  1. 15. 15. 29.  0.]
"обогн
",[16.  2. 16.  4. 15.  0.]
"шался
",[26.  1. 13. 19. 33.  0.]
"пурка
",[17. 21. 18. 12.  1.  0.]
"зинам
",[ 9. 10. 15.  1. 14.  0.]
"оплот
",[16. 17. 13. 16. 20.  0.]
"смола
",[19. 14. 16. 13.  1.  0.]
"бугре
",[ 2. 21.  4. 18.  6.  0.]
"милку
",[14. 10. 13. 12. 21.  0.]
"ежить
",[ 6.  8. 10. 20. 28.  0.]
"топил
",[20. 16. 17. 10. 13.  0.]
"скати
",[19. 12.  1. 20. 10.  0.]
"люлек
",[13. 32. 13.  6. 12.  0.]
"вырою
",[ 3. 29. 18. 16. 32.  0.]
"пепла
",[17.  6. 17. 13.  1.  0.]
"ящику
",[33. 27. 10. 12. 21.  0.]
"верте
",[ 3.  6. 18. 20.  6.  0.]
"ямный
",[33. 14. 15. 29. 11.  0.]
"фризу
",[22. 18. 10.  9. 21.  0.]
"граче
",[ 4. 18.  1. 25.  6.  0.]
"вобью
",[ 3. 16.  2. 28. 32.  0.]
"пичук
",[17. 10. 25. 21. 12.  0.]
"звуко
",[ 9.  3. 21. 12. 16.  0.]
"искре
",[10. 19. 12. 18.  6.  0.]
"тегом
",[20.  6.  4. 16. 14.  0.]
"визге
",[ 3. 10.  9.  4.  6.  0.]
"вещею
",[ 3.  6. 27.  6. 32.  0.]
"башни
",[ 2.  1. 26. 15. 10.  0.]
"смыве
",[19. 14. 29.  3.  6.  0.]
"лычко
",[13. 29. 25. 12. 16.  0.]
"элиту
",[31. 13. 10. 20. 21.  0.]
"обеде
",[16.  2.  6.  5.  6.  0.]
"зубра
",[ 9. 21.  2. 18.  1.  0.]
"евмен
",[ 6.  3. 14.  6. 15.  0.]
"лизки
",[13. 10.  9. 12. 10.  0.]
"пинск
",[17. 10. 15. 19. 12.  0.]
"редок
",[18.  6.  5. 16. 12.  0.]
"печём
",[17.  6. 25.  7. 14.  0.]
"бывша
",[ 2. 29.  3. 26.  1.  0.]
"тёпел
",[20.  7. 17.  6. 13.  0.]
"мушки
",[14. 21. 26. 12. 10.  0.]
"жилам
",[ 8. 10. 13.  1. 14.  0.]
"браса
",[ 2. 18.  1. 19.  1.  0.]
"маток
",[14.  1. 20. 16. 12.  0.]
"мотай
",[14. 16. 20.  1. 11.  0.]
"ухаба
",[21. 23.  1.  2.  1.  0.]
"бакса
",[ 2.  1. 12. 19.  1.  0.]
"паяло
",[17.  1. 33. 13. 16.  0.]
"следо
",[19. 13.  6.  5. 16.  0.]
"сочти
",[19. 16. 25. 20. 10.  0.]
"стези
",[19. 20.  6.  9. 10.  0.]
"углей
",[21.  4. 13.  6. 11.  0.]
"порты
",[17. 16. 18. 20. 29.  0.]
"канда
",[12.  1. 15.  5.  1.  0.]
"утрут
",[21. 20. 18. 21. 20.  0.]
"яхтам
",[33. 23. 20.  1. 14.  0.]
"аллах
",[ 1. 13. 13.  1. 23.  0.]
"блузу
",[ 2. 13. 21.  9. 21.  0.]
"прито
",[17. 18. 10. 20. 16.  0.]
"кааба
",[12.  1.  1.  2.  1.  0.]
"накоп
",[15.  1. 12. 16. 17.  0.]
"колеи
",[12. 16. 13.  6. 10.  0.]
"дужка
",[ 5. 21.  8. 12.  1.  0.]
"ощупа
",[16. 27. 21. 17.  1.  0.]
"грудк
",[ 4. 18. 21.  5. 12.  0.]
"ботах
",[ 2. 16. 20.  1. 23.  0.]
"графа
",[ 4. 18.  1. 22.  1.  0.]
"огарю
",[16.  4.  1. 18. 32.  0.]
"вовсе
",[ 3. 16.  3. 19.  6.  0.]
"аукай
",[ 1. 21. 12.  1. 11.  0.]
"опоим
",[16. 17. 16. 10. 14.  0.]
"редут
",[18.  6.  5. 21. 20.  0.]
"помер
",[17. 16. 14.  6. 18.  0.]
"нубия
",[15. 21.  2. 10. 33.  0.]
"сианя
",[19. 10.  1. 15. 33.  0.]
"коряв
",[12. 16. 18. 33.  3.  0.]
"умяли
",[21. 14. 33. 13. 10.  0.]
"пеплы
",[17.  6. 17. 13. 29.  0.]
"гиббс
",[ 4. 10.  2.  2. 19.  0.]
"совой
",[19. 16.  3. 16. 11.  0.]
"пинаю
",[17. 10. 15.  1. 32.  0.]
"споры
",[19. 17. 16. 18. 29.  0.]
"искря
",[10. 19. 12. 18. 33.  0.]
"тэуле
",[20. 31. 21. 13.  6.  0.]
"зажми
",[ 9.  1.  8. 14. 10.  0.]
"талиф
",[20.  1. 13. 10. 22.  0.]
"знавш
",[ 9. 15.  1.  3. 26.  0.]
"везли
",[ 3.  6.  9. 13. 10.  0.]
"пылом
",[17. 29. 13. 16. 14.  0.]
"предл
",[17. 18.  6.  5. 13.  0.]
"кадку
",[12.  1.  5. 12. 21.  0.]
"сучат
",[19. 21. 25.  1. 20.  0.]
"димою
",[ 5. 10. 14. 16. 32.  0.]
"лютую
",[13. 32. 20. 21. 32.  0.]
"ревём
",[18.  6.  3.  7. 14.  0.]
"драги
",[ 5. 18.  1.  4. 10.  0.]
"пышмы
",[17. 29. 26. 14. 29.  0.]
"непон
",[15.  6. 17. 16. 15.  0.]
"целью
",[24.  6. 13. 28. 32.  0.]
"еложу
",[ 6. 13. 16.  8. 21.  0.]
"инкой
",[10. 15. 12. 16. 11.  0.]
"перех
",[17.  6. 18.  6. 23.  0.]
"лотке
",[13. 16. 20. 12.  6.  0.]
